ID,no_financial_services,other_only,mm_only,mm_plus
2352,0.0019316465419287618,0.003765492950949613,0.15120675185554006,0.8430961086515816
8208,0.03700754947311394,0.1576678727153064,0.08450750346558808,0.7208170743459916
2785,0.004080104154133125,0.025764482795882854,0.044336804436888456,0.9258186086130957
2967,0.0006630847029472851,0.00255591324957731,0.1073487500365994,0.889432252010876
1697,0.054124774544870996,0.21487576492032825,0.17437507551794,0.5566243850168607
4794,0.007128466723419206,0.052513944207211914,0.06681477202872013,0.8735428170406487
2675,0.16363075288918075,0.469729710655575,0.08271522302062212,0.2839243134346221
2989,0.0004007789102968001,0.0010798382458469561,0.05537554559294047,0.9431438372509159
1634,0.006640886969333051,0.02267089871115687,0.06179394005003812,0.908894274269472
4147,0.004731902472341279,0.013784756276697148,0.12111248980761195,0.8603708514433497
8003,0.0011789116449826018,0.003544562955491234,0.08069329070755661,0.9145832346919697
1058,0.0013148814665569352,0.0032188431430303947,0.10868365327754508,0.8867826221128676
8172,0.117750189350828,0.3706302713574636,0.16898847545050266,0.34263106384120573
2640,0.12912598806150546,0.31437932844313043,0.21893638980174845,0.3375582936936157
1233,0.021886322867544186,0.07241434928929046,0.11445741581876569,0.7912419120243995
8632,0.0462857543085772,0.10182168578855579,0.3969510921578067,0.45494146774506034
4548,0.0015642453475722675,0.006066665815852116,0.03420958292250089,0.9581595059140746
1032,0.0008116657503527082,0.0018283030475960255,0.06793953501040582,0.9294204961916455
270,0.07061800101886348,0.32007155490566486,0.07884269221968128,0.5304677518557904
5516,0.010604151272406577,0.05069489921376831,0.1103016620562918,0.8283992874575332
1289,0.01601088203012404,0.04804083859530455,0.10805541539999876,0.8278928639745726
376,0.04449017632591058,0.17093137666802188,0.10710069546924461,0.6774777515368229
5856,0.0265904397313672,0.08379687934056142,0.10811837391513526,0.7814943070129361
2588,0.05007796380816952,0.21054495571951512,0.12315360385426492,0.6162234766180504
1348,0.012592546061598016,0.03250336532282294,0.17458023659935537,0.7803238520162237
8391,0.16160071547286045,0.30543380607261267,0.23338547012495447,0.2995800083295723
2616,0.018768145198964668,0.033657221768726875,0.22073883369512123,0.7268357993371872
5154,0.001977020228646011,0.006892827425515413,0.15667717650187477,0.8344529758439638
869,0.0018941423704240067,0.0053413849019860165,0.14754395630838074,0.8452205164192093
