ID,no_financial_services,other_only,mm_only,mm_plus
2352,0.003356612498045553,0.01896380704707029,0.16120187018674234,0.8164777199694186
8208,0.03232256799150988,0.389427963646545,0.06350076032305946,0.5147487018300686
2785,0.00479148057975963,0.06731794282526156,0.0424039144294899,0.885486651377669
2967,0.0033390703598053,0.007095430744613061,0.109708384892516,0.8798571277788788
1697,0.05682159311999158,0.32972462732499186,0.12103497206430809,0.4924187950730741
4794,0.012171904541874988,0.05151661806122567,0.07921998848303755,0.8570914954331199
2675,0.24011475395746207,0.4338199940017464,0.07039009520954927,0.2556751382047907
2989,0.0012756671051970584,0.01206085011371112,0.059127425059148725,0.927536052172813
1634,0.006919380683164168,0.06641715113462306,0.052037287460188535,0.8746261912770134
4147,0.005977179281388207,0.058012980567371863,0.09065461455967583,0.845355224815462
8003,0.002414401094571859,0.017244490386559713,0.09901558543636364,0.8813255255660316
1058,0.0032350195216721105,0.02057813611843708,0.09835506041455848,0.8778317882915044
8172,0.2073790891502406,0.4238572955063431,0.10681950854610693,0.2619440863082128
2640,0.24786816961271763,0.3612397614989828,0.1420491742616668,0.24884290269809506
1233,0.024233827423535942,0.19963507585113696,0.1600736176914939,0.6160574591656182
8632,0.14600562971584002,0.15093609522193333,0.3458209427668217,0.3572373372624587
4548,0.0023998902713929945,0.019629383372504958,0.029802499914170055,0.9481682163332016
1032,0.0024874163052268573,0.011139463053565469,0.06286395016656002,0.9235091916234311
270,0.04128655944687485,0.461812608226223,0.09593944139380332,0.40096139900456124
5516,0.017168251994766483,0.17107784308605056,0.12411421457964326,0.6876396903395398
1289,0.01729392353890804,0.1421986013262962,0.18158988469437906,0.6589176065833414
376,0.04230077456794923,0.4032897299522083,0.09969200942627567,0.45471747860298617
5856,0.027615808527897846,0.3128199428093243,0.07712419866950042,0.5824400499932775
2588,0.10709346359774169,0.30543192476157327,0.11784821055383286,0.46962638866921785
1348,0.01934495398377664,0.14049131158959624,0.18393629469999997,0.6562274366222186
